name_en,frequency,suggested_family
hemlock fir,3,other
amaranth,3,other
arbutus wood,3,woody
fir cone,3,other
seville lavender,3,floral
butterscotch,3,other
sweet birch,3,woody
hiba wood,3,woody
honeysuckle nectar,3,gourmand
white raspberry,3,fruity
white oak,3,other
summer fruits,3,fruity
melon blossom,3,white_floral
red bitter orange,3,citrus
jamaican ginger,3,boozy
molasses,3,other
blue gum eucalyptus,3,herbal
cassia bark,3,other
viginia cedar orpur,3,woody
black pine,3,woody
shamamatul amber,3,balsamic
white honeydew melon,3,fruity
fruit sorbet,3,fruity
yogurt,3,other
mesquite tree,3,other
birch bark,3,woody
savory,3,other
jamaican amyris,3,other
red berry sorbet,3,fruity
jamaican coffee,3,gourmand
passion fruit nectar,3,fruity
hooded violet,3,floral
sweet corn,3,other
black honey,3,gourmand
mountain pine,3,woody
castanea sativa,3,other
poplar,3,other
delphinium,3,other
american freesia,3,white_floral
scottish pine,3,woody
eucalyptus acorn,3,herbal
iris aldehyde,3,aldehydic
plum leaf,3,fruity
paradisamide,3,other
pistachio tree resin,3,balsamic
jack pine,3,woody
rosa rugosa,3,other
burley tobacco,3,tobacco
magnolia bud,3,white_floral
strelitzia,3,other
bergamot sorbet,3,citrus
jam,3,other
green hay,3,green
red peach,3,fruity
abrialis lavender,3,floral
green grapefruit,3,citrus
ash tree,3,other
lemon ice cream,3,citrus
new zealand ambergris,3,balsamic
zebrano wood,3,woody
beech wood,3,woody
coca leaf,3,green
golden chain,3,other
anise liqueur,3,boozy
roasted coconut,3,fruity
iced coffee,3,gourmand
penang patchouli,3,woody
tamarind blossom,3,white_floral
mystikal,3,other
cherry blossom nectar,3,white_floral
gingko,3,boozy
green mandarin orpur,3,citrus
fennel seed,3,other
peaty whisky,3,boozy
crystal,3,other
yellow gardenia,3,white_floral
heliconia,3,other
yarrow,3,herbal
bigarane,3,other
black spruce,3,other
red pine,3,woody
cassumunar ginger,3,boozy
nut grass,3,gourmand
smoked cedar,3,woody
concrete,3,other
elderberry,3,fruity
rush,3,other
black dahlia,3,other
cucumber water,3,aquatic
pineapple juice,3,woody
mascarpone,3,other
orange juice,3,citrus
oak bark,3,other
aspic,3,other
pistachio wood,3,woody
green coconut,3,fruity
pink grape,3,fruity
rose ultimate,3,floral
apple leaf,3,fruity
rose jam,3,floral
lenga wood,3,woody
white vetiver,3,woody
cypress root,3,woody
orange sorbet,3,citrus
pinyon pine,3,woody
biscuit,3,gourmand
andean vetiver,3,woody
caper,3,other
red maple,3,other
green pineapple,3,woody
white bergamot,3,citrus
lankan patchouli,3,woody
rain water,3,aquatic
blood orange zest,3,citrus
fig tree bark,3,fruity
brown algae,3,aquatic
caramelized cedar,3,woody
creosote,3,other
kava kava,3,other
polygonum,3,other
lime cake,3,citrus
chocolate cake,3,gourmand
woodruff,3,woody
roasted oak,3,other
citron leaf,3,citrus
candle wax,3,other
rice pudding,3,gourmand
blue cyclamen,3,other
cedarwood orpur,3,woody
white sandalwood,3,woody
cream cheese,3,gourmand
gum rockrose,3,floral
ionone,3,other
blue sky,3,other
lemon tea,3,tea
dodecanal,3,other
chestnut wood,3,woody
fuel,3,other
fire,3,other
walnut wood,3,woody
alphonso mango,3,fruity
tangerine blossom,3,white_floral
lemon sugar,3,citrus
beach flowers,3,floral
barley malt,3,other
poplar bud,3,other
meadowsweet,3,other
drawing ink,3,other
cosmofruit,3,fruity
hawaiian sandalwood,3,woody
red champaca,3,other
black copal resin,3,balsamic
karanal,3,other
citron zest,3,citrus
berry blossom,3,white_floral
red spiderlily,3,white_floral
grapefruit sorbet,3,citrus
rose wax,3,floral
curry leaf,3,green
pistachio leaf,3,green
almond honey,3,gourmand
hazelnut flower,3,floral
acerola cherry,3,fruity
alyssum,3,other
salty skin,3,aquatic
red hibiscus,3,other
amalfi bergamot,3,citrus
sweet violet,3,floral
betel pepper,3,spicy
green cactus,3,green
prunol,3,other
raspberry jam,3,fruity
bleeding-heart flower,3,floral
scottish lavender,3,floral
licorice liqueur,3,boozy
ivory coast ginger,3,boozy
white frangipani,3,other
green hazelnut,3,gourmand
garden rose,3,floral
hazelnut wood,3,woody
davana blossom,3,white_floral
pecan,3,other
baby's breath,3,other
mango sorbet,3,fruity
hibiscus nectar,3,tobacco
laminaria,3,other
california blackberry,3,fruity
aged wood,3,woody
macassar wood,3,woody
afghan saffron,3,spicy
pink hyacinth,3,floral
blackcurrant creme,3,fruity
red woods,3,woody
asian mandarin orange,3,citrus
mandarine meringue,3,citrus
lady apple,3,fruity
green tomato,3,green
sandalwood blossom,3,woody
clover blossom,3,white_floral
provençal blue cedar,3,woody
nashi pear sorbet,3,fruity
strawberry cream,3,fruity
tonka bean syrup,2,gourmand
liquor,2,other
bitter orange tree,2,citrus
rose milk,2,floral
alpine hedge rose,2,woody
amberketal,2,balsamic
wenge wood,2,woody
mint tea,2,tea
vegetal milk,2,gourmand
agave blossom,2,white_floral
white camellia,2,other
buds,2,other
salty air,2,aquatic
prickly ash,2,other
bank,2,other
red clay,2,other
blue lilac,2,other
agave syrup,2,other
cherry water,2,fruity
tulip tree,2,other
south american tonka bean,2,gourmand
cherry syrup,2,fruity
balm of gilead,2,other
beer,2,boozy
mediterranean thyme,2,herbal
burning wood,2,woody
costa rican pineapple,2,woody
holly,2,other
green blossoms,2,white_floral
coconut sorbet,2,fruity
hashish,2,other
pink blossoms,2,white_floral
polynesian vanilla,2,gourmand
cherry plum,2,fruity
passion fruit sorbet,2,fruity
black sandalwood,2,woody
israelian blood orange,2,citrus
smilax,2,other
henna blossom,2,white_floral
greenheart wood,2,woody
almond macaroon,2,gourmand
sweat,2,other
fudge,2,other
bergamot tea,2,tea
mineral moss,2,earthy
strawberry candy,2,fruity
peach candy,2,fruity
ebanol,2,other
exaltolide,2,other
comorian vanilla,2,gourmand
thyme blossom,2,white_floral
gandhi root,2,other
dominican wild orange,2,citrus
mediterranean lavender,2,floral
yuzu blossom,2,white_floral
ume blossom,2,white_floral
pineapple skin,2,woody
apple sauce,2,fruity
periploca sepium,2,other
coast redwood,2,woody
milkweed,2,gourmand
peach aldehyde,2,aldehydic
istanbul rose,2,floral
mulberry blossom,2,white_floral
jamaican lime,2,citrus
loam,2,other
macedonian oakmoss,2,earthy
yellow bergamot,2,citrus
greenwood,2,woody
stone fruits,2,fruity
limestone,2,citrus
olive tree wood,2,woody
cointreau,2,other
cedrat,2,other
wax,2,other
bitter orange orpur,2,citrus
cinnamon wood,2,woody
white rose bud,2,floral
boswellia frereana,2,other
straw,2,other
green amber,2,balsamic
pink grapefruit zest,2,citrus
hemlock needle,2,other
opium poppy,2,other
yemenite opoponax,2,other
jasminum polyanthum,2,other
silvanone,2,other
roasted marshmallow,2,other
raspberry puree,2,fruity
cocoa tree,2,gourmand
breuzinho,2,other
cyperus,2,other
raspberry ketone,2,fruity
green mandarin orange zest,2,citrus
black sea salt,2,aquatic
black tulip,2,other
temple incense,2,balsamic
mango skin,2,fruity
currant sorbet,2,fruity
florymoss,2,earthy
spruce needle,2,other
bubinga wood,2,woody
cognac barrel,2,boozy
bourbon tobacco,2,tobacco
violin varnish,2,other
guyanian tonka bean,2,gourmand
furze,2,other
buttermilk,2,gourmand
cactus peel,2,other
latte macchiato,2,other
dominican bitter almond,2,gourmand
dominican honey,2,gourmand
cactus juice,2,other
orange blossom honey,2,white_floral
silver sage,2,herbal
ginger ale,2,boozy
chai spice,2,spicy
almond cream,2,gourmand
caramelized nuts,2,gourmand
vanilla sorbet,2,gourmand
pink violet,2,floral
trees,2,other
pencil shaving,2,other
hiba,2,other
south indian oud,2,woody
red kelp,2,other
california bay laurel,2,herbal
honey nectar,2,gourmand
nympheal,2,other
guava nectar,2,fruity
vanilla caramel,2,gourmand
blue wattle,2,other
chocolate fudge,2,gourmand
eugenol,2,other
hivernal,2,other
humus,2,earthy
roasted chestnut,2,gourmand
pomelo blossom,2,white_floral
mediterranean bergamot,2,citrus
rangpur,2,other
rose tea,2,tea
massoia bark,2,other
lime juice,2,citrus
mediterranean citrus fruits,2,citrus
afghan rose,2,floral
jamaican rum,2,boozy
ambreinol,2,other
ether,2,other
galbanol,2,other
black lily,2,white_floral
juniper needle,2,other
jujube honey,2,gourmand
rose absolue orpur,2,floral
peach water,2,fruity
provençal herbs,2,herbal
white rice,2,gourmand
balkans immortelle,2,other
daphne odora,2,other
provençal verbena,2,other
almond biscuit,2,gourmand
soda,2,other
pistachio ice cream,2,gourmand
forest soil,2,earthy
spinach,2,other
candied lemon,2,citrus
turpentine,2,other
crimean coriander,2,spicy
cherry tree,2,fruity
fossilized himalayan amber,2,balsamic
orange bitters,2,citrus
barberry,2,fruity
betel leaf,2,green
aquaflora,2,other
santamanol,2,other
lychee praliné,2,fruity
beech,2,other
white hydrangea,2,other
elder,2,other
tonkalactone,2,gourmand
caramel popcorn,2,gourmand
coolwood,2,woody
bushes,2,other
green cognac,2,boozy
dandelion,2,other
daylily,2,white_floral
church incense,2,balsamic
underwood,2,woody
south pacific sandalwood,2,woody
aleppo pine,2,woody
